title,lyrics,Album,release_year,Word Count,joy,sadness,surprise,trust,anger,disgust,anticipation,fear,score,sentiment,filter,joy_norm,sadness_norm,surprise_norm,trust_norm,anger_norm,disgust_norm,anticipation_norm,fear_norm
Work From Home,worried nothin wearin nada sittin pretty impatient know gotta hours make harder sendin picture fired know always night shift stand nights alone need explanation cause baby boss home gotta work work work work work work work gotta work work work work work work work gotta work work work work work work work body work work work work work work work work home work home motion give promotion make feel like vacay turn ocean need nobody need body nothing sheets between getting early know always night shift stand nights alone need explanation cause baby boss home gotta work work work work work work work gotta work work work work work work work gotta work work work work work work work body work work work work work work work work home work home dolla dolla girl work work make clap hands take ground pick look back work like timesheet ride like woah line ride foreign break rules ride juug finessin pipe take that overtime body gotta work gotta work work work work work work work gotta work woah work work work work work work gotta work work work work work work work body work work work work work work work work work work home work home work home work home,7/27,2016,246,4,1,1,3,0,0,4,0,0.5406976744186047,joy,intenso,0.09302325581395349,0.014492753623188406,0.01818181818181818,0.07142857142857142,0.0,0.0,0.13793103448275862,0.0
Worth It,give worth baby worth worth gimme gimme worth give worth baby worth worth gimme gimme worth post okay tell bring back like left some bring bring back like left some club lights what actin come show with stop playin know with what actin just give give just give that wanna true true might give talk stuff guaranteed back think call bluff hurry waitin front spot like love style show cause wanna waste time spot like love style show come make worth while give worth baby worth worth gimme gimme worth give worth baby worth worth gimme gimme worth wanna clue clue tell come harder because like like soft soft like little rough much maybe enough spot like love style show cause wanna waste time spot like love style show come make worth while give worth baby worth worth gimme gimme worth give worth know mean baby worth give everythin worth gimme gimme worth post okay tell bring back like left some bring bring back like left some club lights what actin come show with stop playin know with what actin spot like love style show cause wanna waste time spot like love style show come make worth while give worth baby worth worth gimme gimme worth give worth know mean baby worth give everythin worth gimme gimme worth give worth,Reflection,2015,244,16,5,0,10,0,3,6,5,0.5872093023255813,joy,intenso,0.37209302325581395,0.07246376811594203,0.0,0.32142857142857145,0.0,0.04225352112676056,0.20689655172413793,0.07462686567164178
Down,gucci mane gucci fifth harmony need somebody patience cause know temperament reputation nothin little love there kind situation where cross line interrogation would when push come shove show love when push come shove long holding down down down keep lovin down down down long holding down down down keep lovin down down down keep lovin type could bake bake cause baby know take cake take cake wait cause baby know worth wait when push come shove show love show love when push come shove fifth harmony gucci mane long holding down down down keep lovin down down down long holding down down down keep lovin down down gucci keep lovin gucci mane like bonnie clyde walked gangsta bride walked team ballin ball showin ring like jordan hold like hold never tell soul told when sittin cell showed takes real damn that coupe seat coupe that game floor seats diamonds nosebleeds bleed make feel like trophy gucci fifth harmony long holding down down down keep lovin down down down keep lovin down long holding down down down long holding down love down keep lovin down down down long holding down down down long holding down keep lovin down down down down down down down down long holding down down down love down keep lovin down down down long loving babe keep lovin,Fifth Harmony,2017,248,15,1,1,13,6,1,16,2,0.680232558139535,anticipation,intenso,0.3488372093023256,0.014492753623188406,0.01818181818181818,0.42857142857142855,0.0821917808219178,0.014084507042253521,0.5517241379310345,0.029850746268656716
That’s My Girl,that girl working damn hard head overload flawless body achin head refrain nothin nothin ladies round world nothin nothin good girls better before hurt before before good good destiny said independent ever forget dirt shoulder brush feeling five high that girl post that girl that girl that girl what waitin that girl that girl that girl that girl girl interlude that girl played every just tryna show thought best ever until refrain nothin nothin know worth nothin nothin good girls better hurt before good good destiny said independent ever forget ever forget dirt shoulder brush feeling five high feeling five high that girl that girl post that girl that girl that girl what waitin that girl woah that girl that girl that girl before hurt before before good good baby destiny said independent ever forget ever forget dirt shoulder brush feeling five high that girl woah woah post that girl that girl that girl that girl what waitin that girl that girl that girl that girl that girl that girl bridge nothin nothin nothin heart soul nothin nothin nothin nothin heart soul post bridge that girl that girl that girl that girl that girl that girl that girl that girl baby that girl,7/27,2016,268,14,8,12,16,8,8,13,7,0.6162790697674418,trust,intenso,0.32558139534883723,0.11594202898550725,0.21818181818181817,0.5357142857142857,0.1095890410958904,0.11267605633802817,0.4482758620689655,0.1044776119402985
All in My Head (Flex),flex time impress come climb thing head fetty wanna flex baby wanna flex baby tryna chill throwin bands flexible baby flexible baby show different moves groove cause meant baby cause meant baby make history baby make history baby come flex baby refrain curtains like waves closing around dimming lights blind tongue cheek laying roses touching skin leaving hopeless wanna feel feel body body body wanna feel feel flex time impress come climb thing head flex time impress come climb thing head refrain curtains like waves closing around dimming lights blind tongue cheek laying roses touching skin leaving hopeless wanna feel feel body body body wanna feel feel flex time impress come climb thing head flex time impress come climb thing head fetty want come flex baby babe want need babe motherf babe they flex know take hundred thousand blow another hundred thou rover come flex over come flex over babe wanna feel feel body body body wanna feel feel flex time impress time impress come climb come climb thing head flex flex flex time impress come climb climb thing thing head fetty wanna flex baby head zoovier baby head wanna flex baby head baby head,7/27,2016,236,14,12,0,1,0,0,8,12,0.4709302325581395,joy,neutro,0.32558139534883723,0.17391304347826086,0.0,0.0,0.0,0.0,0.27586206896551724,0.1791044776119403
He Like That,pumps bump pumps bump good attitude kinda like tats girl excited bass beat beat inside pumps bump know wanna pumps bump pumps bump like girls pumps bump pumps bump pumps bump girl pumps bump like bang bang bang like bomb bomb bomb like love love love like drug drug drug trip taste want like bang bang bang like bomb bomb bomb like love love love like drug drug drug trip taste want rough neck swaggy know hide dope cash nine five thing girls make money overnight know health still wanna both pumps bump pumps bump like girls pumps bump pumps bump pumps bump girl pumps bump like bang bang bang like bomb bomb bomb like love love love like drug drug drug trip taste want taste want like bang bang bang like bang like bomb bomb bomb like bomb like love love love like love like drug drug drug like drug trip taste want taste want bridge bang love bang bomb love bomb bomb bomb love love thang drug love lose brain going stupid dumb stupid dumb ever want some pumps bump pumps bump like girls pumps bump pumps bump know wants some wants some pumps bump girl pumps bump like bang bang bang like bomb bomb bomb woah like love love love like drug drug drug trip trip taste want taste want like bang bang bang like bomb bomb bomb like like that love love love like drug drug drug trip taste want want pumps bump woah,Fifth Harmony,2017,294,28,47,55,4,47,22,4,49,0.04651162790697683,surprise,intenso,0.6511627906976745,0.6811594202898551,1.0,0.10714285714285714,0.6438356164383562,0.30985915492957744,0.13793103448275862,0.7313432835820896
Don’t Say You Love Me,miss when call hurting without scars promise tonight without tomorrow love unless close inconsistent hold heart safer distance think words ease tension deny something missing need little more need little more gotta know like know before waiting patient need little more miss when call hurting without scars promise tonight without tomorrow love unless unless supposed take when weeks still waiting okay fake even something missing need little more need little need little more gotta know like know before waiting patient need little more miss when call when call hurting without scars promise tonight without tomorrow love unless unless post love love unless unless love love promise tonight without tomorrow love unless unless bridge need little more need little more gotta know like know before waiting patient need little miss when call when call hurting without scars promise tonight without tomorrow love unless,Fifth Harmony,2017,180,14,6,0,5,7,0,8,6,0.5232558139534884,joy,intenso,0.32558139534883723,0.08695652173913043,0.0,0.14285714285714285,0.0958904109589041,0.0,0.27586206896551724,0.08955223880597014
Angel,said angel said angel moment nothin serious never really paid mind dropped started payin attention should never lied should never kept word woulda reason keep mine inconsistent should never lied should never crossed line everything cool drinkin young handcuffs wasn tryna spend life phone gotta keep hundred original fuck beginning fuck said angel said angel when look open eyes brilliant ever said angel might told lies didn worth tries track star think runnin streets runnin streets stay makin ground like wear cleats should never crossed line everything cool drinkin young handcuffs wasn tryna spend life phone gotta keep hundred original fuck beginning fuck said angel wrong said angel angel look when look what open eyes brilliant ever said angel said angel break want want want want want said angel said angel didn know real angel said angel never took time never time figure look when look what open eyes brilliant ever said angel said angel,Fifth Harmony,2017,190,22,0,19,24,0,0,25,0,1.0,anticipation,intenso,0.5116279069767442,0.0,0.34545454545454546,0.8214285714285714,0.0,0.0,0.8620689655172413,0.0
BO$$,every payday swipe card talking lady want kanye that maybach volvo this convo beat like already know tryna baller tryna holla brought next workin money cause that mama taught better show respect michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars that confident want compliments common sense michelle obama shut mouth think know house thirstin cause already know tryna baller tryna holla brought next workin money cause that mama taught better show respect michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars woah michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars bridge pledge allegiance independent girls here woah baby come hear break baller tryna holla brought next workin money cause that mama taught better show respect michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars michelle obama michelle obama purse heavy gettin oprah dollars michelle obama purse heavy gettin oprah dollars,Reflection,2014,214,9,0,5,15,3,0,6,0,0.6627906976744187,trust,intenso,0.20930232558139536,0.0,0.09090909090909091,0.5,0.0410958904109589,0.0,0.20689655172413793,0.0
No Way,know want anymore look face they when rains pours tell face know know before think know audience callin crazy ignore those opinions hate like rest them friends insanity lately everyone comes scars love away told perfect told same think that belong together unashamed told perfect post when look eyes soul know core good tarnished hero know know know story told told only know audience callin crazy ignore those opinions hate like rest them friends insanity lately everyone comes scars love away told perfect told same think that belong together unashamed told perfect post,7/27,2016,120,8,6,2,6,6,4,8,6,0.4883720930232558,joy,neutro,0.18604651162790697,0.08695652173913043,0.03636363636363636,0.17857142857142858,0.0821917808219178,0.056338028169014086,0.27586206896551724,0.08955223880597014
